"product_name","category","sub_category","total_units_sold","total_orders","total_sales","total_profit","profit_margin"
"Cubify CubeX 3D Printer Double Head Print","Technology","Machines","9","3","11099.96","-8879.97","-0.80"
"Lexmark MX611dhe Monochrome Laser Printer","Technology","Machines","18","4","16829.90","-4589.97","-0.27"
"Cubify CubeX 3D Printer Triple Head Print","Technology","Machines","4","1","7999.98","-3839.99","-0.48"
"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases","Furniture","Tables","27","5","9917.64","-2876.11","-0.29"
"Bush Advantage Collection Racetrack Conference Table","Furniture","Tables","33","7","9544.72","-1934.40","-0.20"
"GBC DocuBind P400 Electric Binding System","Office Supplies","Binders","27","6","17965.07","-1878.17","-0.10"
"Cisco TelePresence System EX90 Videoconferencing Unit","Technology","Machines","6","1","22638.48","-1811.08","-0.08"
"Martin Yale Chadless Opener Electric Letter Opener","Office Supplies","Supplies","22","6","16656.21","-1299.19","-0.08"
"Balt Solid Wood Round Tables","Furniture","Tables","19","4","6518.76","-1201.06","-0.18"
"BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables","Furniture","Tables","15","3","1706.26","-1148.44","-0.67"
